album_id,title,artist,release_date,country,status,price,stock_quantity,genre
1,Rock! Rock! Rock!....,Thabata,1970,AR,Official,15.99,50,World Music
2,"Rock, Rock, Rock",Georgia Gibbs,1958,SE,Official,15.99,50,World Music
3,Rock! Rock! Rock!,Johnny Powers,1986,GB,Official,15.99,50,World Music
4,Rock Rock Rock,Tony Tuff,,JM,Official,15.99,50,World Music
5,Rock Rock Rock,Don Lang and His Frantic Five,1983,GB,Official,15.99,50,World Music
6,Rock Rock Rock,Fil di Ferro,1992,IT,Official,15.99,50,World Music
7,"Rock, Rock, Rock",El Team del Rock,1984,MX,Official,15.99,50,World Music
8,Rock! Rock! Rock!,Bill Haley and the Comets,,FR,Official,15.99,50,World Music
9,"Rock, Rock, Rock",Various Artists,Unknown,Unknown,Official,15.99,50,World Music
10,ROCK ROCK,Käärijä,Unknown,Unknown,Official,15.99,50,World Music
11,Rock Rock Rock Remixes,Donna Summer,2008,XW,Official,15.99,50,World Music
12,Rock Rock Rock Remixes,DJ Donna Summer,2008-04,XW,Official,15.99,50,World Music
13,Mojo Presents: Rock! Rock! Rock!,Various Artists,2004-12,GB,Promotion,15.99,50,World Music
14,ROCK THE ROCK,Sheena & The Rokkets,2000-08-09,JP,Official,15.99,50,World Music
15,Rock Against Rock,Lazy,2006-02-06,FR,Official,15.99,50,World Music
16,Rock Fucker Rock,Angelika Express,2004-06-07,DE,Official,15.99,50,World Music
17,Rock Fucker Rock,Angelika Express,2004,DE,Promotion,15.99,50,World Music
18,Rock Pool Rock,Andrew Bond,2007-06-15,CH,Official,15.99,50,World Music
19,Rock Rock On…,Cipha,1996,US,Official,15.99,50,World Music
20,Rock! Rock! Rock'n'Roll!,Little Richard,1983,XG,Official,15.99,50,World Music
21,Rock That Rock!,Rip Masters,1979,US,Official,15.99,50,World Music
22,Rock Rock Baby,Avi Rosenfeld,2022-11-04,XW,Official,15.99,50,World Music
23,Rock the Rock,Axl Rose,Unknown,Unknown,Official,15.99,50,World Music
24,Rock Steady Rock,Lugo,2023-10-15,XW,Official,15.99,50,World Music
25,Rock Non Rock,Donna Summer,2004,US,Official,15.99,50,World Music
26,"Rock, Peter, Rock",Peter Kraus,1992,DE,Official,15.99,50,World Music
27,"Rock, Peter, Rock",Peter Kraus,Unknown,Unknown,Official,15.99,50,World Music
28,Rock This Rock,DaVIP,2009-02,UA,Official,15.99,50,World Music
29,"Rock, Classic Rock",Various Artists,2008,XW,Official,15.99,50,World Music
30,Hard Rock ROCK,Various Artists,Unknown,Unknown,Promotion,15.99,50,World Music
31,"Rock, USA Rock",Various Artists,2009-07,XW,Official,15.99,50,World Music
32,Rock,The Everly Brothers,2013-02-15,DE,Official,15.99,50,World Music
33,Rock,The Alphabeticians,2010-12-24,US,Official,15.99,50,World Music
34,Rock,Amigos De Maria,2006,FR,Bootleg,15.99,50,World Music
35,R.O.C.K.,Sha‐Boom,1988,XE,Official,15.99,50,World Music
36,Rock,Ministério de Adoração da Igreja Internacional da Graça de Deus,Unknown,Unknown,Official,15.99,50,World Music
37,Rock,Shirley & Lee,2008-11-14,DE,Official,15.99,50,World Music
38,ROCK,木村カエラ,2013-10-30,JP,Official,15.99,50,World Music
39,ROCK,木村カエラ,2013-10-30,JP,Official,15.99,50,World Music
40,ROCK,木村カエラ,2013-10-30,JP,Official,15.99,50,World Music
41,Rock!!!!!,Violent Femmes,2000,US,Official,15.99,50,World Music
42,Rock,Jean-Patrick Voindrot,,US,Official,15.99,50,World Music
43,Rock,Vasco Rossi,1997,IT,Official,15.99,50,World Music
44,R.O.C.K.,James Reyne,1985,AU,Official,15.99,50,World Music
45,Rock,Pleymo,2003-10,FR,Official,15.99,50,World Music
46,Rock,Surrogat,2000-03-31,DE,Official,15.99,50,World Music
47,Rock,Akon,Unknown,Unknown,Official,15.99,50,World Music
48,Rock,Wild Bob Burgos,Unknown,Unknown,Official,15.99,50,World Music
49,Rock,Café con Leche,Unknown,Unknown,Official,15.99,50,World Music
50,Rock,Clair Obscur,1994,DE,Official,15.99,50,World Music
